record,subsystem,category,on_css,in_profile,in_baseline,css_fields,css_screens,profile_device,profile_dotted,classname,read_only
HFM:SET-SHIFT10,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT11,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT12,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT13,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT14,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT15,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT2,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT3,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT4,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT5,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT6,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT7,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT8,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-SHIFT9,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-TRGTAPPLY,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
HFM:SET-TRGTDEL,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
HFM:SET-UPLOAD,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
HFM:SET-VOUT0,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT1,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT10,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT11,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT12,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT13,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT14,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT15,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT2,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT3,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT4,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT5,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT6,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT7,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT8,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VOUT9,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
HFM:SET-VTRGT0,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch0_trg,EpicsSignal,RW
HFM:SET-VTRGT1,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch1_trg,EpicsSignal,RW
HFM:SET-VTRGT10,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch10_trg,EpicsSignal,RW
HFM:SET-VTRGT11,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch11_trg,EpicsSignal,RW
HFM:SET-VTRGT12,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch12_trg,EpicsSignal,RW
HFM:SET-VTRGT13,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch13_trg,EpicsSignal,RW
HFM:SET-VTRGT14,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch14_trg,EpicsSignal,RW
HFM:SET-VTRGT15,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch15_trg,EpicsSignal,RW
HFM:SET-VTRGT2,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch2_trg,EpicsSignal,RW
HFM:SET-VTRGT3,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch3_trg,EpicsSignal,RW
HFM:SET-VTRGT4,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch4_trg,EpicsSignal,RW
HFM:SET-VTRGT5,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch5_trg,EpicsSignal,RW
HFM:SET-VTRGT6,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch6_trg,EpicsSignal,RW
HFM:SET-VTRGT7,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch7_trg,EpicsSignal,RW
HFM:SET-VTRGT8,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch8_trg,EpicsSignal,RW
HFM:SET-VTRGT9,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,hfm_voltage,ch9_trg,EpicsSignal,RW
SR-OPS{}Mode-Sts,op,css_only,1,0,0,,12id/op/12ID_beam_param.opi,,,,
SR:C03-BI{DCCT:1}I:Real-I,op,css_only,1,0,0,,12id/op/12ID_beam_param.opi,,,,
SR:C12-ID:G1{IVU:1-Ax:Gap}-Mtr,op,covered,1,1,1,MOVN RBV STOP,12id/op/12ID_beam_param.opi,energy,ivugap.user_readback,EpicsSignalRO,RO
SR:C12-ID:G1{IVU:1-Ax:Gap}-Mtr-SP,op,css_only,1,0,0,,12id/op/12ID_beam_param.opi,,,,
SR:C12-ID:G1{IVU:1}GapSpeed-RB,op,css_only,1,0,0,,12id/op/12ID_beam_param.opi,,,,
SR:C12-ID:G1{IVU:1}GapSpeed-SP,op,css_only,1,0,0,,12id/op/12ID_beam_param.opi,,,,
SR:C31-{AI}Aie12-2:Angle-x-Cal,op,css_only,1,0,0,,12id/op/12ID_beam_param.opi,,,,
SR:C31-{AI}Aie12-2:Angle-y-Cal,op,css_only,1,0,0,,12id/op/12ID_beam_param.opi,,,,
SR:C31-{AI}Aie12-2:Offset-x-Cal,op,css_only,1,0,0,,12id/op/12ID_beam_param.opi,,,,
SR:C31-{AI}Aie12-2:Offset-y-Cal,op,css_only,1,0,0,,12id/op/12ID_beam_param.opi,,,,
VFM:GET-ERR,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ai.bob,,,,
VFM:GET-LASTERR,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ai.bob,,,,
VFM:GET-MODE,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ai.bob,,,,
VFM:GET-STATUS,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-mbbi.bob,,,,
VFM:GET-STATUS0,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch0_status,EpicsSignalRO,RO
VFM:GET-STATUS1,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch1_status,EpicsSignalRO,RO
VFM:GET-STATUS10,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch10_status,EpicsSignalRO,RO
VFM:GET-STATUS11,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch11_status,EpicsSignalRO,RO
VFM:GET-STATUS12,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch12_status,EpicsSignalRO,RO
VFM:GET-STATUS13,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch13_status,EpicsSignalRO,RO
VFM:GET-STATUS14,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch14_status,EpicsSignalRO,RO
VFM:GET-STATUS15,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch15_status,EpicsSignalRO,RO
VFM:GET-STATUS2,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch2_status,EpicsSignalRO,RO
VFM:GET-STATUS3,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch3_status,EpicsSignalRO,RO
